age,dependents,work_experience,monthly_income,annual_income,existing_loans,existing_emi,savings,assets,cibil_score,loan_amount,interest_rate,loan_tenure,dti_ratio,loan_to_income_ratio,gender,marital_status,education,occupation,loan_type,default,gender_enc,marital_enc,education_enc,occupation_enc,loan_type_enc
59,3,5.688577100994948,15356.91,184282.92,3,939.18,115722.32,401826.82,482,322236.09,7.26,24,0.0612,1.7486,Female,Single,PhD,Business,Gold Loan,1,0,2,2,0,3
49,3,29.56219216583495,19256.43,231077.16,3,2824.18,345234.72,699533.26,605,546248.79,10.74,240,0.1467,2.3639,Female,Single,High School,Salaried,Vehicle Loan,0,0,2,1,2,6
35,1,16.21813320774207,28021.46,336257.47,4,3623.53,567185.86,624146.38,371,542403.18,10.7,240,0.1293,1.6131,Female,Single,PhD,Self-employed,Gold Loan,1,0,2,2,3,3
63,2,5.715621121729683,92852.9,1114234.85,3,38948.64,1621635.18,3067656.94,518,211269.92,12.91,48,0.4195,0.1896,Female,Married,High School,Salaried,Education Loan,1,0,1,1,2,2
28,2,4.974144901345125,31318.04,375816.49,4,3030.29,492311.84,1822091.82,472,149303.21,13.64,48,0.0968,0.3973,Female,Divorced,Post Graduate,Self-employed,Agricultural Loan,1,0,0,3,3,0
41,4,25.849949079780178,27415.36,328984.3,2,11081.94,171134.03,805202.61,571,991211.63,10.77,84,0.4042,3.0129,Female,Divorced,High School,Government,Vehicle Loan,1,0,0,1,1,6
59,0,17.995379014124143,13305.19,159662.23,2,5281.89,274279.63,626348.99,767,520845.4,13.51,240,0.397,3.2622,Male,Divorced,Post Graduate,Salaried,Home Loan,0,1,0,3,2,4
39,0,3.4511476284529783,24489.24,293870.88,1,6108.63,446738.25,2011580.71,568,887238.43,12.08,180,0.2494,3.0191,Male,Married,High School,Business,Agricultural Loan,1,1,1,1,0,0
43,0,26.607242656687802,17330.76,207969.11,0,2026.34,223520.15,576591.01,319,258765.36,8.85,36,0.1169,1.2442,Female,Single,High School,Government,Business Loan,1,0,2,1,1,1
31,3,13.317150170418625,19892.38,238708.58,1,2256.75,253956.46,567106.36,877,228764.7,13.5,84,0.1134,0.9583,Male,Divorced,Post Graduate,Business,Gold Loan,0,1,0,3,0,3
31,4,29.680718163911745,39025.49,468305.93,2,9071.96,549907.44,1669176.39,802,196915.59,11.67,120,0.2325,0.4205,Male,Single,Graduate,Business,Personal Loan,0,1,2,0,0,5
44,3,8.45280983057663,28546.84,342562.06,3,125.73,572374.31,1584958.24,446,382848.24,9.9,84,0.0044,1.1176,Male,Divorced,PhD,Self-employed,Gold Loan,1,1,0,2,3,3
56,1,15.86451694344618,100679.42,1208153.02,0,26748.04,1819475.39,8470020.88,728,532829.64,11.76,36,0.2657,0.441,Female,Married,Graduate,Business,Vehicle Loan,0,0,1,0,0,6
60,4,5.193008421978922,69341.72,832100.64,0,33033.69,1434932.23,4122600.18,464,286341.41,9.81,240,0.4764,0.3441,Male,Divorced,High School,Student,Gold Loan,1,1,0,1,4,3
44,4,13.191179360699662,25201.77,302421.28,1,1949.44,319243.56,673393.7,609,1547048.79,7.8,48,0.0774,5.1155,Male,Divorced,PhD,Business,Vehicle Loan,0,1,0,2,0,6
23,4,5.296126470280065,20950.32,251403.86,0,6005.89,321942.1,1406971.41,817,264681.31,12.03,24,0.2867,1.0528,Female,Single,PhD,Salaried,Education Loan,0,0,2,2,2,2
42,1,9.216932595567949,83248.48,998981.77,2,40033.31,1719509.99,8588949.05,313,539844.77,12.77,240,0.4809,0.5404,Male,Single,PhD,Self-employed,Education Loan,1,1,2,2,3,2
22,4,8.09597213459906,98324.2,1179890.44,3,42305.08,623705.95,2240779.45,431,218286.9,12.1,36,0.4303,0.185,Female,Divorced,PhD,Self-employed,Business Loan,1,0,0,2,3,1
44,1,8.49281796771576,10000.0,120000.0,1,4251.9,112124.76,224456.44,738,258203.68,8.6,84,0.4252,2.1517,Male,Married,Post Graduate,Student,Home Loan,0,1,1,3,4,4
64,0,29.094789341739936,38396.23,460754.77,3,15777.97,586502.48,1146765.02,562,412887.29,13.7,60,0.4109,0.8961,Male,Married,Graduate,Self-employed,Personal Loan,1,1,1,0,3,5
50,4,1.1533945736454931,31221.84,374662.04,1,4824.14,688390.41,847289.36,524,227269.35,7.18,24,0.1545,0.6066,Male,Single,Graduate,Self-employed,Business Loan,0,1,2,0,3,1
58,3,14.90584576120229,53608.99,643307.9,4,23872.54,73134.9,95746.18,557,475219.63,9.33,12,0.4453,0.7387,Male,Divorced,Post Graduate,Government,Education Loan,1,1,0,3,1,2
22,2,18.877374127929844,116494.68,1397936.14,0,54830.57,686058.44,3196985.94,533,629197.66,8.82,240,0.4707,0.4501,Male,Divorced,Graduate,Government,Home Loan,1,1,0,0,1,4
41,1,19.82284123332015,27161.77,325941.25,4,6733.3,173627.86,240639.27,635,1060975.73,7.34,36,0.2479,3.2551,Female,Divorced,High School,Government,Personal Loan,0,0,0,1,1,5
53,0,22.63637064398955,10546.83,126561.99,0,1869.8,89775.61,263704.66,708,186479.7,9.84,120,0.1773,1.4734,Male,Married,PhD,Student,Home Loan,0,1,1,2,4,4
32,0,22.82896224679138,51400.57,616806.89,4,10645.8,384532.44,1458334.32,323,505990.84,11.36,240,0.2071,0.8203,Female,Married,High School,Self-employed,Education Loan,1,0,1,1,3,2
42,2,28.665089473078808,83615.02,1003380.23,3,13972.34,1218537.74,5363295.31,570,421022.48,13.18,240,0.1671,0.4196,Female,Divorced,High School,Self-employed,Business Loan,1,0,0,1,3,1
64,4,22.67003863811129,30264.91,363178.88,2,3214.41,646738.85,1089809.16,394,100856.6,13.93,84,0.1062,0.2777,Female,Divorced,Graduate,Self-employed,Personal Loan,0,0,0,0,3,5
45,3,24.710677475194846,23788.97,285467.7,1,7356.13,372309.12,1024265.1,441,179327.73,12.66,180,0.3092,0.6282,Female,Married,Post Graduate,Business,Education Loan,1,0,1,3,0,2
47,2,15.969462457578615,27935.24,335222.91,0,7858.14,183118.61,367321.43,380,646907.0,10.28,240,0.2813,1.9298,Male,Single,Post Graduate,Self-employed,Vehicle Loan,0,1,2,3,3,6
62,4,19.730200314699715,60483.34,725800.07,1,13989.34,1262064.44,2553525.34,573,149922.62,12.07,36,0.2313,0.2066,Female,Divorced,High School,Self-employed,Business Loan,0,0,0,1,3,1
48,4,14.343729504815828,27648.41,331780.9,2,1324.99,429574.79,951661.61,575,417176.06,12.91,84,0.0479,1.2574,Female,Married,PhD,Salaried,Personal Loan,0,0,1,2,2,5
36,1,8.292511404133007,44234.32,530811.81,4,17625.01,267004.04,894053.65,764,80987.17,10.26,60,0.3984,0.1526,Male,Single,High School,Salaried,Home Loan,0,1,2,1,2,4
35,3,9.401492408882,36926.39,443116.68,3,3229.83,344092.3,366909.02,507,407435.58,12.5,120,0.0875,0.9195,Male,Married,PhD,Self-employed,Vehicle Loan,1,1,1,2,3,6
64,3,10.81598230035561,34709.62,416515.47,1,1988.2,665355.37,1753254.74,595,85578.8,10.38,120,0.0573,0.2055,Female,Divorced,PhD,Business,Home Loan,1,0,0,2,0,4
23,1,10.219300436566298,55313.67,663764.07,4,17232.18,995392.61,1739269.95,338,272757.16,9.71,240,0.3115,0.4109,Female,Married,High School,Business,Education Loan,1,0,1,1,0,2
